kind,label,url,desktop_title,desktop_h1,desktop_image_count,desktop_loaded_image_count,desktop_placeholder_count,desktop_has_climate,desktop_has_attractions,desktop_has_packages,desktop_has_magazine,desktop_screenshot,mobile_title,mobile_h1,mobile_image_count,mobile_loaded_image_count,mobile_placeholder_count,mobile_has_climate,mobile_has_attractions,mobile_has_packages,mobile_has_magazine,mobile_screenshot
detail,계림,http://127.0.0.1:3000/destinations/%EA%B3%84%EB%A6%BC,계림 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,계림 여행 가이드,8,8,0,true,true,true,true,16-detail-계림-desktop.png,계림 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,계림 여행 가이드,8,8,0,true,true,true,true,16-detail-계림-mobile.png
detail,광저우,http://127.0.0.1:3000/destinations/%EA%B4%91%EC%A0%80%EC%9A%B0,광저우 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,광저우 여행 가이드,5,5,0,true,true,true,true,17-detail-광저우-desktop.png,광저우 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,광저우 여행 가이드,5,5,0,true,true,true,true,17-detail-광저우-mobile.png
detail,방콕,http://127.0.0.1:3000/destinations/%EB%B0%A9%EC%BD%95,방콕 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,방콕 여행 가이드,9,9,0,true,true,true,true,18-detail-방콕-desktop.png,방콕 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,방콕 여행 가이드,9,9,0,true,true,true,true,18-detail-방콕-mobile.png
detail,시즈오카,http://127.0.0.1:3000/destinations/%EC%8B%9C%EC%A6%88%EC%98%A4%EC%B9%B4,시즈오카 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,시즈오카 여행 가이드,17,4,0,true,true,true,true,19-detail-시즈오카-desktop.png,시즈오카 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,시즈오카 여행 가이드,17,5,0,true,true,true,true,19-detail-시즈오카-mobile.png
detail,북해도,http://127.0.0.1:3000/destinations/%EB%B6%81%ED%95%B4%EB%8F%84,북해도 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,북해도 여행 가이드,11,11,0,true,true,true,true,20-detail-북해도-desktop.png,북해도 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,북해도 여행 가이드,11,11,0,true,true,true,true,20-detail-북해도-mobile.png
detail,하노이,http://127.0.0.1:3000/destinations/%ED%95%98%EB%85%B8%EC%9D%B4,하노이 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,하노이 여행 가이드,6,6,0,true,true,true,true,21-detail-하노이-desktop.png,하노이 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,하노이 여행 가이드,6,6,0,true,true,true,true,21-detail-하노이-mobile.png
detail,연길,http://127.0.0.1:3000/destinations/%EC%97%B0%EA%B8%B8,연길 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,연길 여행 가이드,7,6,0,true,true,true,true,22-detail-연길-desktop.png,연길 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,연길 여행 가이드,7,5,0,true,true,true,true,22-detail-연길-mobile.png
detail,몽골,http://127.0.0.1:3000/destinations/%EB%AA%BD%EA%B3%A8,몽골 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,몽골 여행 가이드,9,9,0,true,true,true,true,23-detail-몽골-desktop.png,몽골 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,몽골 여행 가이드,9,9,0,true,true,true,true,23-detail-몽골-mobile.png
detail,치앙마이,http://127.0.0.1:3000/destinations/%EC%B9%98%EC%95%99%EB%A7%88%EC%9D%B4,치앙마이 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,치앙마이 여행 가이드,7,7,0,true,true,true,true,24-detail-치앙마이-desktop.png,치앙마이 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,치앙마이 여행 가이드,7,7,0,true,true,true,true,24-detail-치앙마이-mobile.png
detail,발리,http://127.0.0.1:3000/destinations/%EB%B0%9C%EB%A6%AC,발리 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,발리 여행 가이드,9,9,0,true,true,true,true,25-detail-발리-desktop.png,발리 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,발리 여행 가이드,9,9,0,true,true,true,true,25-detail-발리-mobile.png
detail,석가장,http://127.0.0.1:3000/destinations/%EC%84%9D%EA%B0%80%EC%9E%A5,석가장 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,석가장 여행 가이드,14,4,0,true,true,true,true,26-detail-석가장-desktop.png,석가장 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,석가장 여행 가이드,14,4,0,true,true,true,true,26-detail-석가장-mobile.png
detail,세부,http://127.0.0.1:3000/destinations/%EC%84%B8%EB%B6%80,세부 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,세부 여행 가이드,12,4,0,true,true,true,true,27-detail-세부-desktop.png,세부 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,세부 여행 가이드,12,4,0,true,true,true,true,27-detail-세부-mobile.png
detail,청도,http://127.0.0.1:3000/destinations/%EC%B2%AD%EB%8F%84,청도 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,청도 여행 가이드,16,4,0,true,true,true,true,28-detail-청도-desktop.png,청도 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,청도 여행 가이드,16,5,0,true,true,true,true,28-detail-청도-mobile.png
detail,후쿠오카,http://127.0.0.1:3000/destinations/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,후쿠오카 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,후쿠오카 여행 가이드,13,4,0,true,true,true,true,29-detail-후쿠오카-desktop.png,후쿠오카 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,후쿠오카 여행 가이드,13,5,0,true,true,true,true,29-detail-후쿠오카-mobile.png
detail,대마도,http://127.0.0.1:3000/destinations/%EB%8C%80%EB%A7%88%EB%8F%84,대마도 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,대마도 여행 가이드,6,6,0,true,true,true,true,30-detail-대마도-desktop.png,대마도 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,대마도 여행 가이드,6,6,0,true,true,true,true,30-detail-대마도-mobile.png
detail,대만,http://127.0.0.1:3000/destinations/%EB%8C%80%EB%A7%8C,대만 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,대만 여행 가이드,3,3,0,true,true,true,true,31-detail-대만-desktop.png,대만 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,대만 여행 가이드,3,3,0,true,true,true,true,31-detail-대만-mobile.png
detail,벳부,http://127.0.0.1:3000/destinations/%EB%B2%B3%EB%B6%80,벳부 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,벳부 여행 가이드,4,4,0,true,true,true,true,32-detail-벳부-desktop.png,벳부 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,벳부 여행 가이드,4,4,0,true,true,true,true,32-detail-벳부-mobile.png
detail,보홀,http://127.0.0.1:3000/destinations/%EB%B3%B4%ED%99%80,보홀 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,보홀 여행 가이드,20,4,0,true,true,true,true,33-detail-보홀-desktop.png,보홀 여행 완벽 가이드 | 관광지·일정·비용 | 여소남,보홀 여행 가이드,20,5,0,true,true,true,true,33-detail-보홀-mobile.png
